# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 7:35:31 AM GMT-04:00 DST to
# Tuesday, June 23, 2020 11:02:53 PM GMT-04:00 DST
# Interruption Tuesday, June 23, 2020 1:43:17 PM GMT-04:00 DST to Tuesday, June 23, 2020 3:16:55 PM GMT-04:00 DST to 
# 4041 samples
#
[1592827502.240715] 1.1.1.1 : [59], 84 bytes, 33.0 ms (33.7 avg, 0% loss)
[1592827532.247602] 1.1.1.1 : [60], 84 bytes, 32.6 ms (33.7 avg, 0% loss)
[1592827562.252773] 1.1.1.1 : [61], 84 bytes, 33.4 ms (33.7 avg, 0% loss)
[1592827592.259650] 1.1.1.1 : [62], 84 bytes, 32.1 ms (33.7 avg, 0% loss)
[1592827622.269190] 1.1.1.1 : [63], 84 bytes, 33.0 ms (33.7 avg, 0% loss)
[1592827652.276130] 1.1.1.1 : [64], 84 bytes, 32.2 ms (33.6 avg, 0% loss)
[1592827682.286772] 1.1.1.1 : [65], 84 bytes, 34.0 ms (33.6 avg, 0% loss)
[1592827712.294836] 1.1.1.1 : [66], 84 bytes, 41.2 ms (33.8 avg, 0% loss)
[1592827742.293646] 1.1.1.1 : [67], 84 bytes, 35.0 ms (33.8 avg, 0% loss)
[1592827772.304983] 1.1.1.1 : [68], 84 bytes, 39.2 ms (33.9 avg, 0% loss)
[1592827802.302645] 1.1.1.1 : [69], 84 bytes, 31.7 ms (33.8 avg, 0% loss)
[1592827832.309224] 1.1.1.1 : [70], 84 bytes, 33.5 ms (33.8 avg, 0% loss)
[1592827862.308307] 1.1.1.1 : [71], 84 bytes, 32.0 ms (33.8 avg, 0% loss)
[1592827892.312069] 1.1.1.1 : [72], 84 bytes, 32.9 ms (33.8 avg, 0% loss)
[1592827922.319652] 1.1.1.1 : [73], 84 bytes, 32.6 ms (33.8 avg, 0% loss)
[1592827952.323819] 1.1.1.1 : [74], 84 bytes, 32.0 ms (33.7 avg, 0% loss)
[1592827982.332983] 1.1.1.1 : [75], 84 bytes, 32.6 ms (33.7 avg, 0% loss)
[1592828012.344143] 1.1.1.1 : [76], 84 bytes, 42.7 ms (33.8 avg, 0% loss)
[1592828042.335251] 1.1.1.1 : [77], 84 bytes, 33.0 ms (33.8 avg, 0% loss)
[1592828072.334654] 1.1.1.1 : [78], 84 bytes, 32.2 ms (33.8 avg, 0% loss)
[1592828102.340869] 1.1.1.1 : [79], 84 bytes, 32.4 ms (33.8 avg, 0% loss)
[1592828132.350745] 1.1.1.1 : [80], 84 bytes, 32.8 ms (33.8 avg, 0% loss)
[1592828162.359171] 1.1.1.1 : [81], 84 bytes, 32.9 ms (33.8 avg, 0% loss)
[1592828192.361444] 1.1.1.1 : [82], 84 bytes, 32.4 ms (33.8 avg, 0% loss)
[1592828222.367473] 1.1.1.1 : [83], 84 bytes, 33.2 ms (33.7 avg, 0% loss)
[1592828252.374604] 1.1.1.1 : [84], 84 bytes, 34.0 ms (33.7 avg, 0% loss)
[1592828282.373993] 1.1.1.1 : [85], 84 bytes, 32.2 ms (33.7 avg, 0% loss)
[1592828312.377365] 1.1.1.1 : [86], 84 bytes, 33.3 ms (33.7 avg, 0% loss)
[1592828342.378288] 1.1.1.1 : [87], 84 bytes, 32.7 ms (33.7 avg, 0% loss)
[1592828372.385890] 1.1.1.1 : [88], 84 bytes, 33.4 ms (33.7 avg, 0% loss)
[1592828402.395125] 1.1.1.1 : [89], 84 bytes, 33.2 ms (33.7 avg, 0% loss)
[1592828432.399744] 1.1.1.1 : [90], 84 bytes, 33.1 ms (33.7 avg, 0% loss)
[1592828462.404573] 1.1.1.1 : [91], 84 bytes, 32.4 ms (33.7 avg, 0% loss)
[1592828492.413369] 1.1.1.1 : [92], 84 bytes, 32.1 ms (33.7 avg, 0% loss)
[1592828522.419735] 1.1.1.1 : [93], 84 bytes, 32.3 ms (33.6 avg, 0% loss)
[1592828552.422444] 1.1.1.1 : [94], 84 bytes, 32.7 ms (33.6 avg, 0% loss)
[1592828582.430000] 1.1.1.1 : [95], 84 bytes, 32.9 ms (33.6 avg, 0% loss)
[1592828612.436315] 1.1.1.1 : [96], 84 bytes, 32.2 ms (33.6 avg, 0% loss)
[1592828642.441921] 1.1.1.1 : [97], 84 bytes, 33.4 ms (33.6 avg, 0% loss)
[1592828672.446790] 1.1.1.1 : [98], 84 bytes, 32.5 ms (33.6 avg, 0% loss)
[1592828702.455132] 1.1.1.1 : [99], 84 bytes, 32.2 ms (33.6 avg, 0% loss)
[1592828732.459461] 1.1.1.1 : [100], 84 bytes, 33.2 ms (33.6 avg, 0% loss)
[1592828762.463768] 1.1.1.1 : [101], 84 bytes, 33.1 ms (33.6 avg, 0% loss)
[1592828792.475524] 1.1.1.1 : [102], 84 bytes, 37.2 ms (33.6 avg, 0% loss)
[1592828822.477722] 1.1.1.1 : [103], 84 bytes, 32.6 ms (33.6 avg, 0% loss)
[1592828852.482355] 1.1.1.1 : [104], 84 bytes, 32.3 ms (33.6 avg, 0% loss)
