# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 1:01:51 AM GMT-04:00 DST to 
# Monday, June 22, 2020 7:28:25 AM GMT-04:00 DST
# 775 samples
#
[1592803911.904050] 1.1.1.1 : [60], 84 bytes, 24.5 ms (31.2 avg, 0% loss)
[1592803941.908901] 1.1.1.1 : [61], 84 bytes, 25.0 ms (31.1 avg, 0% loss)
[1592803971.911825] 1.1.1.1 : [62], 84 bytes, 25.1 ms (31.0 avg, 0% loss)
[1592804001.919994] 1.1.1.1 : [63], 84 bytes, 25.7 ms (30.9 avg, 0% loss)
[1592804031.928342] 1.1.1.1 : [64], 84 bytes, 25.7 ms (30.9 avg, 0% loss)
[1592804061.931670] 1.1.1.1 : [65], 84 bytes, 24.5 ms (30.8 avg, 0% loss)
[1592804091.936506] 1.1.1.1 : [66], 84 bytes, 24.9 ms (30.7 avg, 0% loss)
[1592804121.945236] 1.1.1.1 : [67], 84 bytes, 26.4 ms (30.6 avg, 0% loss)
[1592804151.952905] 1.1.1.1 : [68], 84 bytes, 26.2 ms (30.6 avg, 0% loss)
[1592804181.956772] 1.1.1.1 : [69], 84 bytes, 24.4 ms (30.5 avg, 0% loss)
[1592804211.962389] 1.1.1.1 : [70], 84 bytes, 24.2 ms (30.4 avg, 0% loss)
[1592804241.964048] 1.1.1.1 : [71], 84 bytes, 25.6 ms (30.3 avg, 0% loss)
[1592804271.972936] 1.1.1.1 : [72], 84 bytes, 26.0 ms (30.3 avg, 0% loss)
[1592804301.979670] 1.1.1.1 : [73], 84 bytes, 25.7 ms (30.2 avg, 0% loss)
[1592804331.985885] 1.1.1.1 : [74], 84 bytes, 25.2 ms (30.1 avg, 0% loss)
[1592804361.986834] 1.1.1.1 : [75], 84 bytes, 25.3 ms (30.1 avg, 0% loss)
[1592804391.997472] 1.1.1.1 : [76], 84 bytes, 26.3 ms (30.0 avg, 0% loss)
[1592804422.004833] 1.1.1.1 : [77], 84 bytes, 25.0 ms (30.0 avg, 0% loss)
[1592804452.012046] 1.1.1.1 : [78], 84 bytes, 25.8 ms (29.9 avg, 0% loss)
[1592804482.020191] 1.1.1.1 : [79], 84 bytes, 25.6 ms (29.8 avg, 0% loss)
[1592804512.026955] 1.1.1.1 : [80], 84 bytes, 26.1 ms (29.8 avg, 0% loss)
[1592804542.026435] 1.1.1.1 : [81], 84 bytes, 25.4 ms (29.7 avg, 0% loss)
[1592804572.027340] 1.1.1.1 : [82], 84 bytes, 25.6 ms (29.7 avg, 0% loss)
[1592804602.031040] 1.1.1.1 : [83], 84 bytes, 25.2 ms (29.6 avg, 0% loss)
[1592804632.036710] 1.1.1.1 : [84], 84 bytes, 25.5 ms (29.6 avg, 0% loss)
[1592804662.040516] 1.1.1.1 : [85], 84 bytes, 26.8 ms (29.6 avg, 0% loss)
[1592804692.048192] 1.1.1.1 : [86], 84 bytes, 28.3 ms (29.5 avg, 0% loss)
[1592804722.048698] 1.1.1.1 : [87], 84 bytes, 25.6 ms (29.5 avg, 0% loss)
[1592804752.055266] 1.1.1.1 : [88], 84 bytes, 25.7 ms (29.5 avg, 0% loss)
[1592804782.059016] 1.1.1.1 : [89], 84 bytes, 25.3 ms (29.4 avg, 0% loss)
[1592804812.067534] 1.1.1.1 : [90], 84 bytes, 25.3 ms (29.4 avg, 0% loss)
[1592804842.068693] 1.1.1.1 : [91], 84 bytes, 25.3 ms (29.3 avg, 0% loss)
[1592804872.071172] 1.1.1.1 : [92], 84 bytes, 25.5 ms (29.3 avg, 0% loss)
[1592804902.074004] 1.1.1.1 : [93], 84 bytes, 25.7 ms (29.2 avg, 0% loss)
[1592804932.078156] 1.1.1.1 : [94], 84 bytes, 25.3 ms (29.2 avg, 0% loss)
[1592804962.082758] 1.1.1.1 : [95], 84 bytes, 26.2 ms (29.2 avg, 0% loss)
[1592804992.091000] 1.1.1.1 : [96], 84 bytes, 25.4 ms (29.1 avg, 0% loss)
[1592805022.099617] 1.1.1.1 : [97], 84 bytes, 25.6 ms (29.1 avg, 0% loss)
[1592805052.099579] 1.1.1.1 : [98], 84 bytes, 25.1 ms (29.1 avg, 0% loss)
[1592805082.102986] 1.1.1.1 : [99], 84 bytes, 25.8 ms (29.0 avg, 0% loss)
[1592805112.111504] 1.1.1.1 : [100], 84 bytes, 26.5 ms (29.0 avg, 0% loss)
[1592805142.115504] 1.1.1.1 : [101], 84 bytes, 25.0 ms (29.0 avg, 0% loss)
[1592805172.124472] 1.1.1.1 : [102], 84 bytes, 25.3 ms (28.9 avg, 0% loss)
[1592805202.132327] 1.1.1.1 : [103], 84 bytes, 25.0 ms (28.9 avg, 0% loss)
[1592805232.141519] 1.1.1.1 : [104], 84 bytes, 25.1 ms (28.9 avg, 0% loss)
[1592805262.147247] 1.1.1.1 : [105], 84 bytes, 25.4 ms (28.8 avg, 0% loss)
[1592805292.152812] 1.1.1.1 : [106], 84 bytes, 27.0 ms (28.8 avg, 0% loss)
[1592805322.155311] 1.1.1.1 : [107], 84 bytes, 25.8 ms (28.8 avg, 0% loss)
[1592805352.158612] 1.1.1.1 : [108], 84 bytes, 24.9 ms (28.7 avg, 0% loss)
[1592805382.167234] 1.1.1.1 : [109], 84 bytes, 24.9 ms (28.7 avg, 0% loss)
[1592805412.177010] 1.1.1.1 : [110], 84 bytes, 25.7 ms (28.7 avg, 0% loss)
[1592805442.180656] 1.1.1.1 : [111], 84 bytes, 24.3 ms (28.6 avg, 0% loss)
[1592805472.189423] 1.1.1.1 : [112], 84 bytes, 25.5 ms (28.6 avg, 0% loss)
[1592805502.197391] 1.1.1.1 : [113], 84 bytes, 25.6 ms (28.6 avg, 0% loss)
[1592805532.202377] 1.1.1.1 : [114], 84 bytes, 25.2 ms (28.6 avg, 0% loss)
[1592805562.206591] 1.1.1.1 : [115], 84 bytes, 26.7 ms (28.5 avg, 0% loss)
[1592805592.209881] 1.1.1.1 : [116], 84 bytes, 25.1 ms (28.5 avg, 0% loss)
[1592805622.211584] 1.1.1.1 : [117], 84 bytes, 25.3 ms (28.5 avg, 0% loss)
[1592805652.213428] 1.1.1.1 : [118], 84 bytes, 25.4 ms (28.5 avg, 0% loss)
[1592805682.214663] 1.1.1.1 : [119], 84 bytes, 26.0 ms (28.4 avg, 0% loss)
[1592805712.220143] 1.1.1.1 : [120], 84 bytes, 25.2 ms (28.4 avg, 0% loss)
[1592805742.228577] 1.1.1.1 : [121], 84 bytes, 26.1 ms (28.4 avg, 0% loss)
[1592805772.230511] 1.1.1.1 : [122], 84 bytes, 25.2 ms (28.4 avg, 0% loss)
[1592805802.232944] 1.1.1.1 : [123], 84 bytes, 25.9 ms (28.3 avg, 0% loss)
[1592805832.240478] 1.1.1.1 : [124], 84 bytes, 25.3 ms (28.3 avg, 0% loss)
[1592805862.250932] 1.1.1.1 : [125], 84 bytes, 26.9 ms (28.3 avg, 0% loss)
[1592805892.256883] 1.1.1.1 : [126], 84 bytes, 24.2 ms (28.3 avg, 0% loss)
[1592805922.260511] 1.1.1.1 : [127], 84 bytes, 26.0 ms (28.3 avg, 0% loss)
[1592805952.260000] 1.1.1.1 : [128], 84 bytes, 25.1 ms (28.2 avg, 0% loss)
